timestamp,attention_score,head_pose,confidence_score,label
1786324080.5118387,98,Looking Center,98,attentive
1786324081.7632554,99,Looking Center,99,attentive
1786324084.63941,98,Looking Center,98,attentive
1786324085.5752692,98,Looking Center,98,attentive
1786324087.0143816,99,Looking Center,99,attentive
1786324098.9644804,98,Looking Center,98,attentive
1786324099.7587755,99,Looking Center,99,attentive
1786324100.8988008,98,Looking Center,98,attentive
1786324105.2156363,99,Looking Center,99,attentive
1786324107.2378798,97,Looking Center,98,attentive
1786324108.72411,97,Looking Center,98,attentive
1786324110.409788,44,Looking Left,50,distracted
1786324111.3272722,31,Looking Left,42,distracted
1786324113.1089933,58,Looking Right,58,distracted
1786324113.9691212,42,Looking Right,49,distracted
1786324116.531762,49,Looking Right,53,distracted
1786324119.4736657,41,Looking Left,48,distracted
1786324120.928496,79,Looking Center,87,distracted
1786324122.3686948,97,Looking Center,98,distracted
1786324127.8821104,69,Looking Right,65,distracted
1786324131.4736083,73,Looking Right,67,distracted
1786324132.5665305,25,Looking Left,39,distracted
1786324133.3009965,41,Looking Left,48,distracted
1786324135.6701868,92,Looking Right,79,distracted
1786324139.6710057,7,Looking Right,28,distracted
1786324147.5546904,96,Looking Center,97,attentive
1786324148.6232324,99,Looking Left,83,attentive
1786324149.6051037,99,Looking Center,99,attentive
1786324151.1724477,94,Looking Left,80,attentive
1786324159.7389796,44,Looking Left,50,distracted
1786324161.0151916,72,Looking Center,83,distracted
1786324161.9398253,61,Looking Right,60,distracted
1786324164.7986808,95,Looking Right,81,distracted
1786324168.373689,76,Looking Left,69,distracted
1786324170.0999224,86,Looking Right,75,distracted
1786324171.1109204,81,Looking Left,72,distracted
1786324173.5704725,86,Looking Left,75,attentive
1786324174.8691328,91,Looking Right,78,attentive
1786324175.4735603,95,Looking Right,81,attentive
1786324175.980906,98,Looking Center,98,attentive
1786324176.4805079,92,Looking Center,95,attentive
1786324179.8784816,98,Looking Center,98,attentive
1786324232.6779747,94,Looking Center,96,attentive
1786324234.7729561,95,Looking Left,81,attentive
1786324236.9255507,41,Looking Left,48,distracted
1786324238.281916,56,Looking Center,73,distracted
1786324800.9699454,99,Looking Center,99,attentive
1786324802.5045753,98,Looking Center,98,attentive
1786324804.9277523,98,Looking Center,98,attentive
1786324807.4641232,98,Looking Center,98,attentive
1786324810.3899868,99,Looking Center,99,attentive
1786324812.0263183,99,Looking Center,99,attentive
1786324815.6959274,98,Looking Center,98,attentive
1786324834.4984167,96,Looking Right,81,attentive
1786324836.1205165,99,Looking Center,99,attentive
1786324842.2992494,97,Looking Center,98,attentive
1786324844.1222656,53,Looking Right,55,distracted
1786324845.1576374,94,Looking Right,80,distracted
1786324847.6236393,48,Looking Right,52,distracted
1786324850.329137,62,Looking Left,61,distracted
1786324853.770509,57,Looking Right,58,distracted
1786324856.126453,46,Looking Left,51,distracted
1786324859.5908399,80,Looking Right,72,distracted
1786324865.9909286,97,Looking Center,98,distracted
1786324868.2023137,78,Looking Right,70,distracted
1786324873.0670648,40,Looking Left,48,distracted
1786324875.3276837,94,Looking Left,80,attentive
1786324876.0036743,98,Looking Left,82,attentive
1786324877.4039738,96,Looking Left,81,attentive
1786324879.3173904,81,Looking Left,72,attentive
1786324880.6756797,96,Looking Left,81,attentive
1786324881.5577207,99,Looking Center,99,attentive
1786324882.6354432,93,Looking Center,95,attentive
1786324883.324874,98,Looking Center,98,attentive
1786324884.3891149,70,Looking Left,66,distracted
1786324886.9663558,76,Looking Right,69,distracted
1786324888.6345284,96,Looking Center,97,distracted
1786324890.2653844,58,Looking Left,58,distracted
1786324894.1188347,89,Looking Center,93,distracted
1786324895.738842,58,Looking Right,58,distracted
1786324898.762454,37,Looking Left,46,distracted
1786324900.2377782,38,Looking Right,46,distracted
1786324901.1925924,17,Looking Right,34,distracted
1786324904.2678087,78,Looking Left,70,distracted
1786324905.5926335,40,Looking Right,48,distracted
1786324906.5178003,24,Looking Right,38,distracted
1786324907.430086,79,Looking Right,71,distracted
1786324910.7312088,89,Looking Left,77,distracted
1786324912.4215508,26,Looking Right,39,distracted
1786324914.3001158,95,Looking Center,97,attentive
1786324914.913867,94,Looking Center,96,attentive
1786324917.0645955,97,Looking Center,98,attentive
1786324918.2839265,97,Looking Center,98,attentive
1786324919.1020927,97,Looking Center,98,attentive
1786324920.9234426,97,Looking Center,98,attentive
1786324921.5281403,92,Looking Center,95,attentive
1786324922.236118,99,Looking Center,99,attentive
