timestamp,attention_score,head_pose,confidence_score,label
1786243637.6817625,94,Looking Center,96,attentive
1786243639.8556662,88,Looking Center,92,attentive
1786243640.7856975,85,Looking Center,91,attentive
1786243641.6788707,80,Looking Center,88,attentive
1786243642.5145009,75,Looking Center,85,attentive
1786243643.9719288,66,Looking Center,79,attentive
1786243645.0549524,68,Looking Center,80,attentive
1786243645.8576229,71,Looking Center,82,attentive
1786243647.2164068,81,Looking Center,88,attentive
1786243648.1120346,81,Looking Center,88,attentive
1786243649.52378,67,Looking Right,64,distracted
1786243650.2868285,61,Looking Right,60,distracted
1786243651.02312,58,Looking Right,58,distracted
1786243651.8884125,59,Looking Right,59,distracted
1786243659.6443722,74,Looking Center,84,distracted
1786243660.6261935,80,Looking Center,88,distracted
1786243661.6762967,69,Looking Right,65,distracted
1786243666.6603901,80,Looking Center,88,distracted
1786243667.8228557,45,Looking Right,51,distracted
1786243668.8478007,50,Looking Right,54,distracted
1786243671.7923641,75,Looking Center,85,distracted
1786243676.0404227,72,Looking Center,83,attentive
1786243677.288768,65,Looking Right,63,attentive
1786243679.885543,61,Looking Center,76,attentive
1786243683.6484354,66,Looking Center,79,attentive
1786243684.416209,71,Looking Center,82,attentive
1786243691.098427,0,No Face,24,distracted
1786243694.1927588,36,Looking Right,45,distracted
1786243695.1841733,5,Looking Right,27,distracted
1786243696.2270815,55,Looking Right,57,distracted
1786243697.1188734,79,Looking Center,87,distracted
1786243698.0195005,74,Looking Center,84,distracted
1786244617.734228,69,Looking Center,81,attentive
1786244622.2320156,63,Looking Center,77,attentive
1786244629.274356,60,Looking Center,76,attentive
1786244632.0365717,69,Looking Right,65,attentive
1786244633.2365668,76,Looking Center,85,attentive
1786244633.4926486,76,Looking Center,85,attentive
1786244634.2916536,79,Looking Center,87,attentive
1786244634.69281,78,Looking Center,86,attentive
1786244638.3045053,73,Looking Center,83,distracted
1786244639.843061,71,Looking Right,66,distracted
1786244640.1346045,74,Looking Right,68,distracted
1786244640.3862422,76,Looking Center,85,distracted
1786244640.6616154,79,Looking Center,87,distracted
1786244640.9936635,87,Looking Center,92,distracted
1786244641.2987847,89,Looking Center,93,distracted
1786244641.5884447,89,Looking Center,93,distracted
1786244641.8971763,80,Looking Center,88,distracted
1786244642.0973322,74,Looking Center,84,distracted
1786244642.3558598,71,Looking Center,82,distracted
1786244646.7884843,43,Looking Center,65,distracted
1786244647.2417765,44,Looking Center,66,distracted
1786244648.532139,46,Looking Center,67,distracted
1786244648.8372855,59,Looking Center,75,distracted
1786244649.049206,58,Looking Center,74,distracted
1786244649.7300334,76,Looking Center,85,distracted
1786244650.038292,78,Looking Center,86,distracted
1786244653.161594,79,Looking Center,87,attentive
1786244653.663737,79,Looking Center,87,attentive
1786244654.1325629,72,Looking Center,83,attentive
1786244654.4740002,64,Looking Right,62,attentive
1786244654.7546973,51,Looking Right,54,attentive
1786244655.125792,54,Looking Right,56,attentive
1786244655.4879599,67,Looking Center,80,attentive
1786244655.7620258,73,Looking Center,83,attentive
1786244656.0328603,75,Looking Center,85,attentive
1786244656.356747,75,Looking Center,85,attentive
1786244656.5941677,79,Looking Center,87,attentive
1786244656.8367715,82,Looking Center,89,attentive
1786244657.1257508,91,Looking Center,94,attentive
1786244657.4262955,86,Looking Center,91,attentive
1786244657.6979287,69,Looking Left,65,attentive
1786244657.920479,62,Looking Left,61,attentive
1786244658.1295953,60,Looking Left,60,attentive
1786244658.3896444,70,Looking Center,82,attentive
1786244658.9313161,72,Looking Right,67,attentive
1786244659.1231916,50,Looking Right,54,attentive
1786244659.3307364,31,Looking Right,42,attentive
1786244800.039815,63,Looking Center,77,attentive
1786244802.1448019,32,Looking Right,43,attentive
1786244804.536966,52,Looking Center,71,attentive
1786244807.4377434,82,Looking Center,89,attentive
1786244811.2476165,31,Looking Right,42,attentive
1786244812.5696862,72,Looking Center,83,attentive
1786244815.6713011,55,Looking Left,57,attentive
1786244818.307329,66,Looking Center,79,attentive
1786244821.7666092,82,Looking Center,89,attentive
1786244823.078869,70,Looking Center,82,attentive
1786244824.4120297,46,Looking Right,51,attentive
1786244825.702964,60,Looking Right,60,attentive
1786244827.2467182,65,Looking Left,63,attentive
1786244828.3119018,72,Looking Center,83,attentive
1786244830.0969794,77,Looking Center,86,attentive
1786244887.307602,68,Looking Center,80,distracted
1786244891.080893,47,Looking Right,52,distracted
1786244894.060821,67,Looking Left,64,distracted
1786244900.539386,19,Looking Left,35,distracted
1786244903.0502987,0,Looking Left,24,distracted
1786244907.1198285,0,Looking Right,24,distracted
1786244908.31304,40,Looking Right,48,distracted
1786244910.0082936,58,Looking Left,58,distracted
1786244915.1417708,58,Looking Right,58,distracted
1786244916.4363396,87,Looking Left,76,distracted
1786244922.2496386,73,Looking Right,67,distracted
1786244925.3489275,73,Looking Center,83,distracted
1786244926.7823174,32,Looking Right,43,distracted
1786244927.9082778,54,Looking Left,56,distracted
1786244929.2450104,27,Looking Left,40,distracted
1786245174.5975053,98,Looking Center,98,attentive
1786245175.4606588,98,Looking Center,98,attentive
1786245176.4205842,97,Looking Center,98,attentive
1786245177.269978,99,Looking Center,99,attentive
1786245180.726242,95,Looking Center,97,attentive
1786245181.4639814,98,Looking Center,98,attentive
1786245182.2311037,98,Looking Center,98,attentive
1786245182.8708982,98,Looking Center,98,attentive
1786245183.431044,97,Looking Center,98,attentive
1786245184.2949796,98,Looking Center,98,attentive
1786245184.8673866,96,Looking Center,97,attentive
1786245185.498232,93,Looking Center,95,attentive
1786245186.7315636,93,Looking Left,79,attentive
1786245187.2057397,92,Looking Left,79,attentive
1786245187.8313637,90,Looking Left,78,attentive
1786245188.391747,93,Looking Center,95,attentive
1786245189.2776158,94,Looking Center,96,attentive
1786245189.7176049,95,Looking Center,97,attentive
1786245190.1985378,96,Looking Center,97,attentive
1786245190.7926714,99,Looking Center,99,attentive
1786245191.4623122,98,Looking Center,98,attentive
1786245191.9376452,98,Looking Center,98,attentive
1786245192.4286647,98,Looking Center,98,attentive
1786245192.9340851,93,Looking Center,95,attentive
1786245193.3979337,98,Looking Right,82,attentive
1786245193.841098,98,Looking Center,98,attentive
1786245194.3121362,99,Looking Center,99,attentive
1786245194.7587743,97,Looking Center,98,attentive
1786245195.1305761,94,Looking Center,96,attentive
1786245205.5530005,45,Looking Left,51,distracted
1786245208.9961972,48,Looking Left,52,distracted
1786245209.5077715,53,Looking Left,55,distracted
1786245210.1015666,48,Looking Left,52,distracted
1786245211.2239168,89,Looking Center,93,distracted
1786245212.9023163,55,Looking Center,73,distracted
1786245214.1621256,63,Looking Center,77,distracted
1786245218.0207937,60,Looking Right,60,distracted
1786245218.7307193,80,Looking Right,72,distracted
1786245219.706796,63,Looking Center,77,distracted
1786245220.5069184,78,Looking Right,70,distracted
1786245221.77532,79,Looking Center,87,distracted
1786245222.901029,44,Looking Left,50,distracted
1786245223.8320813,41,Looking Left,48,distracted
1786245228.6303535,68,Looking Right,64,distracted
1786245230.2845554,55,Looking Left,57,distracted
1786245232.9649675,59,Looking Left,59,distracted
1786245234.5180032,61,Looking Left,60,distracted
1786245235.5932224,89,Looking Left,77,distracted
1786245236.471909,93,Looking Center,95,distracted
1786245237.8615336,79,Looking Right,71,distracted
1786245239.1993883,98,Looking Right,82,distracted
1786245243.797822,80,Looking Right,72,distracted
1786245245.5586495,54,Looking Center,72,distracted
1786245247.8347235,95,Looking Center,97,distracted
1786245249.2200587,51,Looking Left,54,distracted
